doc_id,place_name,text,rating,date,char_len,word_count,text_v2
Ci9DQUlRQUNvZENodHljRjlvT2pkS1JEZDVUR3hsUTAxcGJUWnZSRTUzYjNWUGQwRRAB,Вулик медовий ресторан,Це справді дуже смачно! Тут я дуже часом ностальгую за стравами які годувала бабуся.. Гарний сервіс і затишна атмосфера.,5,2026-02-22T14:54:21,120,19,це справді дуже смачно тут я дуже часом ностальгую за стравами які годувала бабуся гарний сервіс і затишна атмосфера
Ci9DQUlRQUNvZENodHljRjlvT2xwclQxTXdRVXhaTlhWbVR6VkZTV2xQWXpsd05uYxAB,Вулик медовий ресторан,"Дуже смачно, по-домашньому та атмосферно. Зупа з лисичками смакота, реберця з картопелькою дуже мякі та смачні, шніцель, курка та наливки бомбезні. Рекомендую!",5,2026-02-22T13:53:55,159,22,дуже смачно по домашньому та атмосферно зупа з лисичками смакота реберця з картопелькою дуже мякі та смачні шніцель курка та наливки бомбезні рекомендую
Ci9DQUlRQUNvZENodHljRjlvT2xwMFpubGlXV2c1Vm5CV1Iwa3daMjk2U0hCTVIyYxAB,Вулик медовий ресторан,Дуже класний заклад. Відтепер у Львові це мій топчик,5,2026-02-16T17:26:41,52,9,дуже класний заклад відтепер у львові це мій топчик
Ci9DQUlRQUNvZENodHljRjlvT20xdk1IVjVhSFZ6VVdST2JTMDNSV2xLYzFaVmVYYxAB,Вулик медовий ресторан,"Дуже сподобався ресторан 😍 А особливо концепція меду, бо просто обожнюю мед. Їжа тут – просто супер. Ще хочу відмітити офіціанта Романа, який нас обслуговував –дуже позитивний та уважний. Обовʼязково повернемось ще!",5,2026-02-15T19:26:50,215,32,дуже сподобався ресторан а особливо концепція меду бо просто обожнюю мед їжа тут просто супер ще хочу відмітити офіціанта романа який нас обслуговував дуже позитивний та уважний повернемось ще
Ci9DQUlRQUNvZENodHljRjlvT2w5eVNXWTVUMWhWVVVGcVMwMU1TM0pQZW10U09GRRAB,Вулик медовий ресторан,"Затишне місце з приємною атмосферою. Страви подали швидко, смак насичений. Добре підходить для спокійної вечері.",5,2026-02-15T18:31:47,112,15,затишне місце з приємною атмосферою страви подали швидко смак насичений добре підходить для спокійної вечері
Ci9DQUlRQUNvZENodHljRjlvT20xdVVETlZWbU5yVUVObE5YSlVhMUJ2WHpOeFJYYxAB,Вулик медовий ресторан,"Провели чудовий вечір всією родиною. Дуже смачне хачапурі, свинина і наливки! Особлива подяка офіціанту Роману за його чудову роботу.",5,2026-02-14T19:56:11,133,19,провели чудовий вечір всією родиною дуже смачне хачапурі свинина і наливки особлива подяка офіціанту роману за його чудову роботу
Ci9DQUlRQUNvZENodHljRjlvT21SdlIxUkNiMjFZYmxSUmJtNTVUalJPVUc5Wk9YYxAB,Вулик медовий ресторан,"Зайшли пообідати без бронювання. Меню просте, порції нормальні, ціни середні.",5,2026-02-10T21:51:26,77,10,зайшли пообідати без бронювання меню просте порції нормальні ціни середні
Ci9DQUlRQUNvZENodHljRjlvT2tOZlNURkVNMjExVG1VeGFIcElURGx1WDIxMWJWRRAB,Вулик медовий ресторан,"Заклад невеликий, обслуговування спокійне. Страви подали швидко, смак звичайний, без зауважень.",5,2026-02-10T10:43:31,95,11,заклад невеликий обслуговування спокійне страви подали швидко смак звичайний без зауважень
Ci9DQUlRQUNvZENodHljRjlvT25GNGIwcERhbEJVUXpCbU9UQTFURWcyUW1VMGNFRRAB,Вулик медовий ресторан,"Зайшли пообідати. Обслуговування спокійне, замовлення подали швидко. Страви прості, без зауважень.",5,2026-02-08T19:12:49,98,11,зайшли пообідати обслуговування спокійне замовлення подали швидко страви прості без зауважень
Ci9DQUlRQUNvZENodHljRjlvT25oQkxYaEtYMjFYVEdsdVZHVjBTa2syYkhSUWFXYxAB,Вулик медовий ресторан,"Смачна кухня, з оригінальним оформленням. Рекомендую",5,2026-02-06T12:11:14,52,6,смачна кухня з оригінальним оформленням рекомендую
Ci9DQUlRQUNvZENodHljRjlvT25NMlJFRXpha3RDTW1keGNVb3dTVWhuZEZoMFRXYxAB,Вулик медовий ресторан,"Невеличкий ресторан з простим спокійним інтер’єром, столиків, як мені здалося, не більше десяти. Але в будній день ввечері нас посадили без проблем. Замовляли банош щ білими грибами та бринзою, деруни з грибами. Хотіли замовити дві порції язика, але в наявності був лише один. Взяли ще ребра, непогано, але зажирно. Порції великі, тож не будьте як ми, не беріть так багато, бо луснете) Медовухи та настоянки дуже смачні і гарячий Вишняк смачнющий. В цілому непоганий заклад з традиційними простими, але смачними стравами",5,2026-02-02T21:39:35,520,81,невеличкий ресторан з простим спокійним інтер’єром столиків як мені здалося не більше десяти але в будній день ввечері нас посадили без проблем замовляли банош щ білими грибами та бринзою деруни з грибами хотіли замовити дві порції язика але в наявності був лише один взяли ще ребра непогано але зажирно порції великі тож не будьте як ми не беріть так багато бо луснете медовухи та настоянки дуже смачні і гарячий вишняк смачнющий в цілому непоганий заклад з традиційними простими але смачними стравами
ChZDSUhNMG9nS0VJQ0FnSURPX2VQdVV3EAE,Вулик медовий ресторан,"Смачно, затишно, привітно",5,2022-07-12T13:38:36,25,3,смачно затишно привітно
Ci9DQUlRQUNvZENodHljRjlvT21SUFEwWkRObGcxU1haWk0wSlJSblJGU1dWMWRFRRAB,Вулик медовий ресторан,"Чудово, як завжди!",5,2026-01-27T12:03:06,18,3,чудово як завжди
Ci9DQUlRQUNvZENodHljRjlvT2xKYUxXOUJRbE0yUkd4V09Xc3RWMjlyVG10b1MyYxAB,Вулик медовий ресторан,"Дуууууже смачно. Помірні ціни та великі порції. Гарне обслуговування) але прохання додати в меню звичайне пиво, типу лагер.",5,2026-01-19T10:59:18,123,18,дуууууже смачно помірні ціни та великі порції гарне обслуговування але прохання додати в меню звичайне пиво типу лагер
Ci9DQUlRQUNvZENodHljRjlvT25oU2JsQnpjMUoyVFdZNFVsSmFjMlF6ZDNveE1YYxAB,Вулик медовий ресторан,"Круто і смачно, а головне як вдома. Попалася офіціантка Кіра, чудово обслужила та була дуже приязною!",5,2026-01-17T18:01:28,101,16,круто і смачно а головне як вдома попалася офіціантка кіра чудово обслужила та була дуже приязною
Ci9DQUlRQUNvZENodHljRjlvT2tkV1Uza3djRXg2VTFaS2NtVm1kSGMzWVZONmEzYxAB,Вулик медовий ресторан,"Пані Кіра найкращий офіціант , обслуговування на найвищому рівні, дуже приємні враження",5,2026-01-17T17:59:38,87,12,пані кіра найкращий офіціант обслуговування на найвищому рівні дуже приємні враження
Ci9DQUlRQUNvZENodHljRjlvT2s1c2EwVlVUM1U0Vmt4ZlJIbG5WemRTYlV4cmNHYxAB,Вулик медовий ресторан,пані кіра дуже хороший офіціант кухня на найкращому рівні все дуже смачно,5,2026-01-17T17:59:17,73,12,пані кіра дуже хороший офіціант кухня на найкращому рівні все дуже смачно
Ci9DQUlRQUNvZENodHljRjlvT2tzdFYxOVhUMjFLTFdaaVFtaDRlSEJmVVc0NE5VRRAB,Хінкальня на Кривій Липі,Офіціантка Надійка дуже дуже гарно обслуговувала і дуже приємна! Все було дуже смачно!!!!,5,2026-02-23T12:00:56,89,13,офіціантка надійка дуже дуже гарно обслуговувала і дуже приємна все було дуже смачно
Ci9DQUlRQUNvZENodHljRjlvT25abVZqSjNZbmxvUm5WR01HeFpXVk4xVms5aUxVRRAB,Хінкальня на Кривій Липі,"Сподобалося як швидко та якісно нас обслуговували. Найкращі, було смачно",5,2026-02-22T17:41:48,72,10,сподобалося як швидко та якісно нас обслуговували найкращі було смачно
Ci9DQUlRQUNvZENodHljRjlvT2xoeVRFTnlkM2QzVW05MWR6TkZTV2RSU1RBNFdVRRAB,Хінкальня на Кривій Липі,"Дуже смачноза приємну ціну,рекомендую!",5,2025-11-29T16:31:14,38,4,дуже смачноза приємну ціну рекомендую
Ci9DQUlRQUNvZENodHljRjlvT25GVWRXUTNXRVJPYmtod2VHNU1TMEZJTlhrMVlrRRAB,Хінкальня на Кривій Липі,"Офіціантка просто сонечко, дуже їй дякую за такий доброзичливий сервіс. Страви смачні. Вино",5,2026-02-19T14:02:30,91,13,офіціантка просто сонечко дуже їй дякую за такий доброзичливий сервіс страви смачні вино
Ci9DQUlRQUNvZENodHljRjlvT2xKSmJGVlZTV290U0Vod1pUaFVhREZtUW1wMGNFRRAB,Хінкальня на Кривій Липі,"Все чудово Марта чудова, вино чудове, Марта чудова, страви чудові, обслуговування від Марти чудове Ще прийдемо на Марту, тобто страви, які принесе Марта. Марта, Марта, Марта!👰🏻‍♂️ Це все, звісно, жарти. Але Марта - це не жарт. Дайте грошей Марті P. S. Ми вже дали і дамо ще",5,2026-02-19T13:53:38,273,47,все чудово марта чудова вино чудове марта чудова страви чудові обслуговування від марти чудове ще прийдемо на марту тобто страви які принесе марта марта марта марта це все звісно жарти але марта це не жарт дайте грошей марті p s ми вже дали і дамо ще
Ci9DQUlRQUNvZENodHljRjlvT25WM1dsQTRSM0pFYkdJek1XZG1PRUpoZEhJdFJuYxAB,Хінкальня на Кривій Липі,"Офіціантка Марта просто сонечко, дуже їй дякую за такий доброзичливий сервіс. Страви смачні. Вино п’янке. Дякуємо, прийдемо до вас ще!",5,2026-02-19T13:49:33,134,20,офіціантка марта просто сонечко дуже їй дякую за такий доброзичливий сервіс страви смачні вино п’янке дякуємо прийдемо до вас ще
Ci9DQUlRQUNvZENodHljRjlvT21oellscHNVRTFPTjJoa1kyMHpabkp2V21sQlFVRRAB,Хінкальня на Кривій Липі,"Все було максимально смачно , швидко та якісно , рекомендую всім розливне вино з ожиною та гранатом , дуже хороший сервіс та хороші ціни",5,2026-02-16T14:17:47,136,24,все було максимально смачно швидко та якісно рекомендую всім розливне вино з ожиною та гранатом дуже хороший сервіс та хороші ціни
Ci9DQUlRQUNvZENodHljRjlvT2pOdlVGTlJjVVZ4ZGpoeVIyaEpNMlZ5Ymt0SU9GRRAB,Хінкальня на Кривій Липі,Кухня неймовірно смачна ! Офіціант Михайло профі своєї справи. Рекомендую,5,2026-02-15T17:29:16,73,10,кухня неймовірно смачна офіціант михайло профі своєї справи рекомендую
Ci9DQUlRQUNvZENodHljRjlvT2pOR05IQnVVMWR3UmxCQmVGVlNMVVY1YVhCRE1rRRAB,Хінкальня на Кривій Липі,Супер. Дякую за гостинність!,5,2026-02-11T07:15:07,28,4,супер дякую за гостинність
Ci9DQUlRQUNvZENodHljRjlvT2t0V2MxSkZNM3A2ZUVwemVsUmxlbWswVVdGQk5uYxAB,Хінкальня на Кривій Липі,"Обожнюю салат з печінкою, персонал булки приємні) розлила пиво - замінили ще й прибрали, любов",5,2026-02-10T18:20:11,94,15,обожнюю салат з печінкою персонал булки приємні розлила пиво замінили ще й прибрали любов
Ci9DQUlRQUNvZENodHljRjlvT25keWIwTldaMWRqYURodVdubEVNSFU0U2tkVFluYxAB,Хінкальня на Кривій Липі,Місце як завжди класне та дуже смачно дуже приємні і красиві офіціантки все клас,5,2026-02-08T13:51:16,80,14,місце як завжди класне та дуже смачно дуже приємні і красиві офіціантки все клас
