doc_id,place_name,text,rating,date,char_len,word_count,text_v2
Ci9DQUlRQUNvZENodHljRjlvT21oelpUSmtMV05qY2xwYWRFTmpZMjFPUVRCdVlYYxAB,CLOUD no.7 Panorama,"Було дуже смачно, колектив був привітний та професійний. Страви на вищому рівні , подача гарна. Привітали з днем народження найсмачнішим чизкейком з ягодами. Найкращі враження, обовʼязково повернемося і не раз. Ви чудові!",5,2026-02-20T14:03:13,221,32,було дуже смачно колектив був привітний та професійний страви на вищому рівні подача гарна привітали з днем народження найсмачнішим чизкейком з ягодами найкращі враження повернемося і не раз ви чудові
Ci9DQUlRQUNvZENodHljRjlvT2xSUWVHRmhXSGwzY21GbFdVWnpiVWR6YVdZMlZWRRAB,Кумпель на Ринку,"Місце супер, ящо хочеться атмосфери бару залишайтеся на першому поверсі, бо другий поверх більш ресторанного типу, дуже смачно, рекомендую однозначно!",5,2026-01-02T10:58:44,150,20,місце супер ящо хочеться атмосфери бару залишайтеся на першому поверсі бо другий поверх більш ресторанного типу дуже смачно рекомендую однозначно
ChZDSUhNMG9nS0VJQ0FnSURtNTVIVUd3EAE,Food Avto,"Піца офігенна, реально дівки смачну роблять, жаль малого формату. Пива нема на жаль , та нема пакетів, трохи неготові з цим сервісом",5,2022-02-11T16:54:01,132,22,піца офігенна реально дівки смачну роблять жаль малого формату пива нема на жаль та нема пакетів трохи неготові з цим сервісом
Ci9DQUlRQUNvZENodHljRjlvT2tZMWNHbFNRWFZCTlVOWlZWZDZRakZQWTB4V09FRRAB,GULVISA,"Мали нагоду відвідати ваш заклад!Багато гарних вражень від страв, подачі і обслуговування!Окрема подяка офіціантам Олегу і Павлу!Уважні ввічливі завжди усміхнені!Рекомендую!",5,2026-02-16T19:28:36,173,20,мали нагоду відвідати ваш заклад багато гарних вражень від страв подачі і обслуговування окрема подяка офіціантам олегу і павлу уважні ввічливі завжди усміхнені рекомендую
Ci9DQUlRQUNvZENodHljRjlvT2pGaWEwSXlia3RuY2kxT2NVTlRTekF0Ym5Wd2FHYxAB,Ресторан-пивоварня місцевої кухні Кумпель,"Просто чудово, все смачно й неймовірна атмосфера. Дякую закладу і особисто Владі за такий теплий прийом. При наступному приїзду до Львову обов’язково відвідаємо вас. Рекомендую гостям міста , не залишитесь без емоцій і гарного настрою!",5,2026-01-02T12:59:37,235,35,просто чудово все смачно й неймовірна атмосфера дякую закладу і особисто владі за такий теплий прийом при наступному приїзду до львову обов’язково відвідаємо вас рекомендую гостям міста не залишитесь без емоцій і гарного настрою
Ci9DQUlRQUNvZENodHljRjlvT2s4MlVXUlVkaTFhTTNKcVQyNXFkMFZvVEdGS1pXYxAB,FAMI.Italy,Дуже крутий заклад! Рекомендую🫶,5,2026-02-07T19:39:05,31,4,дуже крутий заклад рекомендую
Ci9DQUlRQUNvZENodHljRjlvT2xkT1RuZHNZV2RhYkdwdmEzSTRhVzFyYjBwRWRrRRAB,Mokka 1554,"Чудове місце, гарна атмосфера, смачні кава та десерти. Раджу завітати всім!",5,2026-02-21T15:01:27,75,11,чудове місце гарна атмосфера смачні кава та десерти раджу завітати всім
Ci9DQUlRQUNvZENodHljRjlvT2pWV1EyUjNkbXN4TWpkdWN6SjRTMnBwYVZoVVZHYxAB,Країна Мрій Львів - Дитячий Розважальний Центр,Аніматори Стіч та Енджел неймовірні 😍Діти в захваті 🥰,5,2026-02-15T15:06:15,53,9,аніматори стіч та енджел неймовірні діти в захваті
Ci9DQUlRQUNvZENodHljRjlvT2w5QmN5MDFSbVJrTjBoa05XSkllUzF2VW5JeWFWRRAB,SHOco.,"Це казкове місце ) ми тут були взимку, було тепло, затишно і смачно, десерти були не тільки цікаві на вигляд а ще й надзвичайно смачними.",5,2026-02-08T15:07:27,137,25,це казкове місце ми тут були взимку було тепло затишно і смачно десерти були не тільки цікаві на вигляд а ще й надзвичайно смачними
Ci9DQUlRQUNvZENodHljRjlvT2pWc05sZGtZMFJrWm1sQmNrcFZOemhsTFZWeE4zYxAB,5-те Підземелля,Гарна подача,5,2026-02-21T09:37:54,12,2,гарна подача
Ci9DQUlRQUNvZENodHljRjlvT2s5c01USm9NbXd3UlZkRVEyNXNPVXN5WkZwR1RGRRAB,ТЕРАКОТА •сімейний ресторан•,"Дуже гарна атмосфера, привітна дівчинка бармен, їжа отрив фляги🔥",5,2025-09-27T14:31:26,64,9,дуже гарна атмосфера привітна дівчинка бармен їжа отрив фляги
